;Setname;Set;Main;Second
0;Deutsche Nationalbibliografie (DNB);dnb;Deutsche Nationalbibliografie (DNB);Deutsche Nationalbibliografie (DNB)
1;Deutsche Nationalbibliografie (DNB) - Allgemeines, Informationswissenschaft;dnb:sg0;Deutsche Nationalbibliografie (DNB);Allgemeines, Informationswissenschaft
2;Deutsche Nationalbibliografie (DNB) - Allgemeines, Wissenschaft;dnb:sg000;Deutsche Nationalbibliografie (DNB);Allgemeines, Wissenschaft
3;Deutsche Nationalbibliografie (DNB) - Informatik;dnb:sg004;Deutsche Nationalbibliografie (DNB);Informatik
4;Deutsche Nationalbibliografie (DNB) - Bibliografien;dnb:sg010;Deutsche Nationalbibliografie (DNB);Bibliografien
5;Deutsche Nationalbibliografie (DNB) - Bibliotheks- und Informationswissenschaft;dnb:sg020;Deutsche Nationalbibliografie (DNB);Bibliotheks- und Informationswissenschaft
6;Deutsche Nationalbibliografie (DNB) - EnzyklopÑdien;dnb:sg030;Deutsche Nationalbibliografie (DNB);EnzyklopÑdien
7;Deutsche Nationalbibliografie (DNB) - Zeitschriften, fortlaufende Sammelwerke;dnb:sg050;Deutsche Nationalbibliografie (DNB);Zeitschriften, fortlaufende Sammelwerke
8;Deutsche Nationalbibliografie (DNB) - Organisationen, Museumswissenschaft;dnb:sg060;Deutsche Nationalbibliografie (DNB);Organisationen, Museumswissenschaft
9;Deutsche Nationalbibliografie (DNB) - Nachrichtenmedien, Journalismus, Verlagswesen;dnb:sg070;Deutsche Nationalbibliografie (DNB);Nachrichtenmedien, Journalismus, Verlagswesen
10;Deutsche Nationalbibliografie (DNB) - Allgemeine Sammelwerke;dnb:sg080;Deutsche Nationalbibliografie (DNB);Allgemeine Sammelwerke
11;Deutsche Nationalbibliografie (DNB) - Handschriften, seltene BÅcher;dnb:sg090;Deutsche Nationalbibliografie (DNB);Handschriften, seltene BÅcher
12;Deutsche Nationalbibliografie (DNB) - Philosphie und Psychologie;dnb:sg1;Deutsche Nationalbibliografie (DNB);Philosphie und Psychologie
13;Deutsche Nationalbibliografie (DNB) - Philosophie;dnb:sg100;Deutsche Nationalbibliografie (DNB);Philosophie
14;Deutsche Nationalbibliografie (DNB) - Parapsychologie, Okkultismus;dnb:sg130;Deutsche Nationalbibliografie (DNB);Parapsychologie, Okkultismus
15;Deutsche Nationalbibliografie (DNB) - Psychologie;dnb:sg150;Deutsche Nationalbibliografie (DNB);Psychologie
16;Deutsche Nationalbibliografie (DNB) - Religion;dnb:sg2;Deutsche Nationalbibliografie (DNB);Religion
17;Deutsche Nationalbibliografie (DNB) - Religion, Religionsphilosophie;dnb:sg200;Deutsche Nationalbibliografie (DNB);Religion, Religionsphilosophie
18;Deutsche Nationalbibliografie (DNB) - Bibel;dnb:sg220;Deutsche Nationalbibliografie (DNB);Bibel
19;Deutsche Nationalbibliografie (DNB) - Theologie, Christentum;dnb:sg230;Deutsche Nationalbibliografie (DNB);Theologie, Christentum
